rank,full_name,url,description,stars,star_delta,forks,fork_delta,open_issues,language,topics,created_at,updated_at,pushed_at,archived
1,affaan-m/ECC,https://github.com/affaan-m/ECC,"The agent harness performance optimization system. Skills, instincts, memory, security, and research-first development for Claude Code, Codex, Opencode, Cursor and beyond.",202150,678,31019,113,52,JavaScript,"ai-agents,anthropic,claude,claude-code,developer-tools,llm,mcp,productivity",2026-01-18T00:51:51Z,2026-06-01T23:09:15Z,2026-05-31T06:45:42Z,False
2,NousResearch/hermes-agent,https://github.com/NousResearch/hermes-agent,The agent that grows with you,175935,486,30005,127,16265,Python,"ai,ai-agent,ai-agents,anthropic,chatgpt,claude,claude-code,clawdbot,codex,hermes,hermes-agent,llm,moltbot,nous-research,openai,openclaw",2025-07-22T22:22:28Z,2026-06-01T23:09:17Z,2026-06-01T22:30:41Z,False
3,multica-ai/andrej-karpathy-skills,https://github.com/multica-ai/andrej-karpathy-skills,"A single CLAUDE.md file to improve Claude Code behavior, derived from Andrej Karpathy's observations on LLM coding pitfalls.",164729,450,16871,36,115,,,2026-01-27T03:53:13Z,2026-06-01T23:09:13Z,2026-04-20T10:05:04Z,False
4,x1xhlol/system-prompts-and-models-of-ai-tools,https://github.com/x1xhlol/system-prompts-and-models-of-ai-tools,"FULL Augment Code, Claude Code, Cluely, CodeBuddy, Comet, Cursor, Devin AI, Junie, Kiro, Leap.new, Lovable, Manus, NotionAI, Orchids.app, Perplexity, Poke, Qoder, Replit, Same.dev, Trae, Traycer AI, VSCode Agent, Warp.dev, Windsurf, Xcode, Z.ai Code, Dia & v0. (And other Open Sourced) System Prompts, Internal Tools & AI Models",138673,19,34512,-1,148,,"ai,bolt,cluely,copilot,cursor,cursorai,devin,github-copilot,lovable,open-source,perplexity,replit,system-prompts,trae,trae-ai,trae-ide,v0,vscode,windsurf,windsurf-ai",2025-03-05T16:38:29Z,2026-06-01T23:03:13Z,2026-05-23T11:15:30Z,False
5,anthropics/claude-code,https://github.com/anthropics/claude-code,"Claude Code is an agentic coding tool that lives in your terminal, understands your codebase, and helps you code faster by executing routine tasks, explaining complex code, and handling git workflows - all through natural language commands.",129329,78,21042,11,8430,Python,,2025-02-22T17:41:21Z,2026-06-01T23:07:09Z,2026-05-31T19:42:49Z,False
6,garrytan/gstack,https://github.com/garrytan/gstack,"Use Garry Tan's exact Claude Code setup: 23 opinionated tools that serve as CEO, Designer, Eng Manager, Release Manager, Doc Engineer, and QA",105696,289,15751,42,573,TypeScript,,2026-03-11T21:22:45Z,2026-06-01T22:59:43Z,2026-06-01T15:34:19Z,False
7,google-gemini/gemini-cli,https://github.com/google-gemini/gemini-cli,An open-source AI agent that brings the power of Gemini directly into your terminal.,104840,20,13967,2,1356,TypeScript,"ai,ai-agents,cli,gemini,gemini-api,mcp-client,mcp-server",2025-04-17T17:04:31Z,2026-06-01T22:50:52Z,2026-06-01T22:25:06Z,False
8,farion1231/cc-switch,https://github.com/farion1231/cc-switch,"A cross-platform desktop All-in-One assistant for Claude Code, Codex, OpenCode, OpenClaw, Gemini CLI & Hermes Agent. Only official website: ccswitch.io",87877,342,5715,14,1253,Rust,"ai-tools,claude-code,codex,desktop-app,hermes,hermes-agent,mcp,minimax,omo,open-source,openclaw,openclaw-ui,opencode,provider-management,rust,skills,skills-management,tauri,typescript,wsl-support",2025-08-04T14:16:16Z,2026-06-01T23:08:45Z,2026-06-01T15:30:29Z,False
9,modelcontextprotocol/servers,https://github.com/modelcontextprotocol/servers,Model Context Protocol Servers,86583,18,10893,4,498,TypeScript,,2024-11-19T01:10:17Z,2026-06-01T22:51:11Z,2026-05-30T18:35:21Z,False
10,nextlevelbuilder/ui-ux-pro-max-skill,https://github.com/nextlevelbuilder/ui-ux-pro-max-skill,An AI SKILL that provide design intelligence for building professional UI/UX multiple platforms,86031,168,8893,28,163,Python,"ai-skills,antigravity,claude,claude-code,codex,command-line,copilot,cursor-ai,html5,kiro,landing-page,mobile-ui,qoder,react,tailwindcss,trae,ui-design,uikit,windsurf-ai",2025-11-30T11:36:31Z,2026-06-01T23:09:27Z,2026-04-03T05:08:19Z,False
11,thedotmack/claude-mem,https://github.com/thedotmack/claude-mem,"Persistent Context Across Sessions for Every Agent –  Captures everything your agent does during sessions, compresses it with AI, and injects relevant context back into future sessions. Works with Claude Code, OpenClaw, Codex, Gemini, Hermes, Copilot, OpenCode + More",80096,72,6893,7,140,TypeScript,"ai,ai-agents,ai-memory,anthropic,artificial-intelligence,chromadb,claude,claude-agent-sdk,claude-agents,claude-code,claude-code-plugin,claude-skills,embeddings,long-term-memory,mem0,memory-engine,openmemory,rag,sqlite,supermemory",2025-08-31T20:50:03Z,2026-06-01T23:02:17Z,2026-05-29T19:19:59Z,False
12,JuliusBrussee/caveman,https://github.com/JuliusBrussee/caveman,🪨 why use many token when few token do trick — Claude Code skill that cuts 65% of tokens by talking like caveman,67428,241,3799,12,264,JavaScript,"ai,anthropic,caveman,claude,claude-code,llm,meme,prompt-engineering,skill,tokens",2026-04-04T10:03:00Z,2026-06-01T23:07:39Z,2026-05-20T10:44:54Z,False
13,shareAI-lab/learn-claude-code,https://github.com/shareAI-lab/learn-claude-code,"Bash is all you need -  A nano claude code–like 「agent harness」, built from 0 to 1",64078,54,10470,7,70,Python,"agent,agent-development,ai-agent,claude,claude-code,educational,llm,python,teaching,tutorial",2025-06-29T15:34:15Z,2026-06-01T21:57:50Z,2026-05-31T14:22:38Z,False
14,gsd-build/get-shit-done,https://github.com/gsd-build/get-shit-done,"A light-weight and powerful meta-prompting, context engineering and spec-driven development system for Claude Code by TÂCHES.",63815,1,5433,-2,0,JavaScript,"claude-code,context-engineering,meta-prompting,spec-driven-development",2025-12-14T14:17:12Z,2026-06-01T22:31:44Z,2026-05-31T17:46:54Z,False
15,sansan0/TrendRadar,https://github.com/sansan0/TrendRadar,"⭐AI-driven public opinion & trend monitor with multi-platform aggregation, RSS, and smart alerts.🎯 告别信息过载，你的 AI 舆情监控助手与热点筛选工具！聚合多平台热点 +  RSS 订阅，支持关键词精准筛选。AI 智能筛选新闻 + AI 翻译 +  AI 分析简报直推手机，也支持接入 MCP 架构，赋能 AI 自然语言对话分析、情感洞察与趋势预测等。支持 Docker ，数据本地/云端自持。集成微信/飞书/钉钉/Telegram/邮件/ntfy/bark/slack 等渠道智能推送。",58693,18,24468,1,43,Python,"ai,bark,data-analysis,docker,hot-news,llm,mail,mcp,mcp-server,news,ntfy,python,rss,trending-topics,wechat,wework",2025-04-28T11:42:16Z,2026-06-01T21:40:08Z,2026-05-27T14:14:00Z,False
16,D4Vinci/Scrapling,https://github.com/D4Vinci/Scrapling,🕷️ An adaptive Web Scraping framework that handles everything from a single request to a full-scale crawl!,57960,420,5625,40,21,Python,"ai,ai-scraping,automation,crawler,crawling,crawling-python,data,data-extraction,mcp,mcp-server,playwright,python,scraping,selectors,stealth,web-scraper,web-scraping,web-scraping-python,webscraping,xpath",2024-10-13T20:29:53Z,2026-06-01T23:08:59Z,2026-06-01T22:48:36Z,False
17,safishamsi/graphify,https://github.com/safishamsi/graphify,"AI coding assistant skill (Claude Code, Codex, OpenCode, Cursor, Gemini CLI, and more). Turn any folder of code, SQL schemas, R scripts, shell scripts, docs, papers, images, or videos into a queryable knowledge graph. App code + database schema + infrastructure in one graph.",57922,214,6050,23,280,Python,"antigravity,claude-code,codex,gemini,graphrag,knowledge-graph,leiden,openclaw,rag,skills,tree-sitter",2026-04-03T15:49:07Z,2026-06-01T22:52:50Z,2026-06-01T21:23:43Z,False
18,rtk-ai/rtk,https://github.com/rtk-ai/rtk,"CLI proxy that reduces LLM token consumption by 60-90% on common dev commands. Single Rust binary, zero dependencies",57432,275,3526,9,1035,Rust,"agentic-coding,ai-coding,anthropic,claude-code,cli,command-line-tool,cost-reduction,developer-tools,llm,open-source,productivity,rust,token-optimization",2026-01-22T16:54:16Z,2026-06-01T23:08:13Z,2026-06-01T16:51:19Z,False
19,ruvnet/ruflo,https://github.com/ruvnet/ruflo,"🌊 The leading agent meta-harness for Claude. Deploy intelligent multi-agent swarms, coordinate autonomous workflows, and build conversational AI systems. Features adaptive memory, self-learning swarm intelligence, RAG integration, and native Claude Code / Codex Integration",57278,145,6531,23,596,TypeScript,"agentic-ai,agentic-framework,agentic-rag,agentic-workflow,agents,ai-agents,ai-assistant,ai-coding,ai-skills,autonomous-agents,claude-code,codex,mcp-server,multi-agent,multi-agent-systems,npm,skills,swarm,swarm-intelligence,typescript",2025-06-02T21:24:20Z,2026-06-01T23:06:12Z,2026-06-01T09:44:28Z,False
20,nexu-io/open-design,https://github.com/nexu-io/open-design,"🎨 Local-first, open-source Claude Design alternative. 🖥️ Native desktop app. ⚡ 259+ Skills · ✨ 142+ Design Systems 🖼️ Web · desktop · mobile prototypes · slides · images · videos · HyperFrames 📦 Sandboxed preview · HTML/PDF/PPTX/MP4 export 🤖 Claude Code / OpenClaw / Codex / Cursor / OpenCode / Qwen / Copilot / Hermes / Kimi & 17+ CLIs.",57003,202,6441,19,340,TypeScript,"agent-skills,ai-agents,ai-design,byok,claude-code-for-design,claude-design,codex-design,coding-agents,cursor-design,design-systems,design-tools,desktop-app,figma-alternative,generative-ai,hermes-agent,local-first,no-code,prototyping,ui-generator,vibe-coding",2026-04-28T04:25:20Z,2026-06-01T23:07:48Z,2026-06-01T16:13:33Z,False
21,upstash/context7,https://github.com/upstash/context7,Context7 Platform -- Up-to-date code documentation for LLMs and AI code editors,56548,21,2672,2,150,TypeScript,"llm,mcp,mcp-server,vibe-coding",2025-03-26T23:40:39Z,2026-06-01T22:46:12Z,2026-06-01T18:44:06Z,False
22,shanraisshan/claude-code-best-practice,https://github.com/shanraisshan/claude-code-best-practice,from vibe coding to agentic engineering - practice makes claude perfect,55906,70,5610,2,12,HTML,"agentic-ai,agentic-coding,agentic-engineering,agentic-workflow,ai,ai-agents,anthropic,best-practices,boris,claude,claude-ai,claude-code,claude-code-agents,claude-code-best-practices,claude-code-commands,claude-code-skills,context-engineering,pakistan,pakistani-developer,vibe-coding",2025-10-31T14:15:28Z,2026-06-01T22:57:21Z,2026-06-01T17:57:52Z,False
23,MemPalace/mempalace,https://github.com/MemPalace/mempalace,The best-benchmarked open-source AI memory system. And it's free.,53257,38,7023,5,585,Python,"ai,chromadb,llm,mcp,memory,python",2026-04-05T01:12:07Z,2026-06-01T23:01:09Z,2026-05-30T19:45:01Z,False
24,BerriAI/litellm,https://github.com/BerriAI/litellm,"Python SDK, Proxy Server (AI Gateway) to call 100+ LLM APIs in OpenAI (or native) format, with cost tracking, guardrails, loadbalancing and logging. [Bedrock, Azure, OpenAI, VertexAI, Cohere, Anthropic, Sagemaker, HuggingFace, VLLM, NVIDIA NIM]",48951,27,8534,9,3557,Python,"ai-gateway,anthropic,azure-openai,bedrock,gateway,langchain,litellm,llm,llm-gateway,llmops,mcp-gateway,openai,openai-proxy,vertex-ai",2023-07-27T00:09:52Z,2026-06-01T22:56:40Z,2026-06-01T23:08:16Z,False
25,Lum1104/Understand-Anything,https://github.com/Lum1104/Understand-Anything,"Graphs that teach > graphs that impress. Turn any code into an interactive knowledge graph you can explore, search, and ask questions about. Works with Claude Code, Codex, Cursor, Copilot, Gemini CLI, and more.",48702,420,3954,33,150,TypeScript,"antigravity-skills,business-knowledge,claude-code,claude-skills,codebase-analysis,codex,codex-skills,developer-tools-ai-agent,gemini-cli-skills,karpathy-llm-wiki,knowledge-base,knowledge-graph,memory,opencode-skills,pi-agent,understandcode,vibe-coding",2026-03-15T02:30:51Z,2026-06-01T23:08:06Z,2026-06-01T09:53:12Z,False
26,addyosmani/agent-skills,https://github.com/addyosmani/agent-skills,Production-grade engineering skills for AI coding agents.,47626,65,5277,3,95,Shell,"agent-skills,antigravity,antigravity-ide,claude-code,cursor,skills",2026-02-15T20:20:26Z,2026-06-01T23:05:03Z,2026-05-28T06:47:30Z,False
27,mudler/LocalAI,https://github.com/mudler/LocalAI,"LocalAI is the open-source AI engine. Run any model - LLMs, vision, voice, image, video - on any hardware. No GPU required.",46607,8,4128,2,188,Go,"agents,ai,api,audio-generation,decentralized,distributed,image-generation,libp2p,llama,llm,mamba,mcp,musicgen,object-detection,rerank,stable-diffusion,text-generation,tts",2023-03-18T22:58:02Z,2026-06-01T22:49:16Z,2026-06-01T22:32:34Z,False
28,jeecgboot/JeecgBoot,https://github.com/jeecgboot/JeecgBoot,AI 低代码平台「低代码 + 零代码」双驱动！低代码可一键生成前后端代码;零代码可 5 分钟搭建系统;AI Skills 一句话画流程、设计表单、生成整套系统。内置 AI聊天、知识库、流程编排、MCP插件等，兼容主流大模型。引领「AI 生成 → 在线配置 → 代码生成 → 手工合并->AI修改」开发模式，消除 Java 项目 80% 的重复工作，提效而不失灵活。,46561,10,16029,0,20,Java,"activiti,agent,ai,antd,claude-code,cli,codegenerator,codex,flowable,langchain4j,llm,low-code,mcp,mybatis-plus,rag,skills,spring-ai,springboot,springcloud,vue3",2018-11-26T10:40:00Z,2026-06-01T20:01:03Z,2026-05-23T11:30:11Z,False
29,aaif-goose/goose,https://github.com/aaif-goose/goose,"an open source, extensible AI agent that goes beyond code suggestions - install, execute, edit, and test with any LLM",46174,19,4784,2,256,Rust,"acp,ai,ai-agents,mcp",2024-08-23T19:03:36Z,2026-06-01T23:03:51Z,2026-06-01T21:26:17Z,False
30,zhayujie/CowAgent,https://github.com/zhayujie/CowAgent,"Open-source super AI assistant & Agent Harness. Plans tasks, runs tools and skills, autonomously grows with memory and knowledge. Multi-model, multi-channel. Lightweight, extensible, one-line install.",45007,4,10160,0,10,Python,"ai,ai-agent,ai-agents,chatgpt-on-wechat,claude,claude-code,codex,cowagent,deepseek,harness,llm,mcp,multi-agent,openai,openclaw,skills",2022-08-07T08:33:41Z,2026-06-01T22:21:35Z,2026-06-01T08:59:55Z,False
31,HKUDS/nanobot,https://github.com/HKUDS/nanobot,"Lightweight, open-source AI agent for your tools, chats, and workflows.",43482,15,7689,3,905,Python,"ai,ai-agent,ai-agents,anthropic,chatgpt,claude,claude-code,codex,codex-cli,llm,nanobot,openai,openclaw",2026-02-01T07:16:15Z,2026-06-01T22:08:44Z,2026-06-01T17:01:09Z,False
32,ChromeDevTools/chrome-devtools-mcp,https://github.com/ChromeDevTools/chrome-devtools-mcp,Chrome DevTools for coding agents,42516,24,2729,5,83,TypeScript,"browser,chrome,chrome-devtools,debugging,devtools,mcp,mcp-server,puppeteer",2025-09-11T10:39:55Z,2026-06-01T22:28:25Z,2026-06-01T17:49:04Z,False
33,danny-avila/LibreChat,https://github.com/danny-avila/LibreChat,"Enhanced ChatGPT Clone: Features Agents, MCP, DeepSeek, Anthropic, AWS, OpenAI, Responses API, Azure, Groq, o1, GPT-5, Mistral, OpenRouter, Vertex AI, Gemini, Artifacts, AI model switching, message search, Code Interpreter, langchain, DALL-E-3, OpenAPI Actions, Functions, Secure Multi-User Auth, Presets, open-source for self-hosting. Active.",37849,67,7802,10,477,TypeScript,"ai,anthropic,artifacts,aws,azure,chatgpt,chatgpt-clone,claude,clone,deepseek,gemini,google,gpt-5,librechat,mcp,o1,openai,responses-api,vision,webui",2023-02-12T01:06:52Z,2026-06-01T23:03:21Z,2026-06-01T23:09:33Z,False
34,colbymchenry/codegraph,https://github.com/colbymchenry/codegraph,"Pre-indexed code knowledge graph for Claude Code, Codex, Gemini, Cursor, OpenCode, AntiGravity, Kiro, and Hermes Agent — fewer tokens, fewer tool calls, 100% local",36657,332,2282,27,238,TypeScript,,2026-01-18T21:45:37Z,2026-06-01T23:07:56Z,2026-06-01T00:22:31Z,False
35,wshobson/agents,https://github.com/wshobson/agents,"Multi-harness agentic plugin marketplace for Claude Code, Codex CLI, Cursor, OpenCode, and Gemini CLI",36239,16,3928,0,6,Python,"agent-skills,agentic-ai,agents,ai-agents,anthropic,automation,claude-code,claude-code-plugins,codex-cli,copilot,cursor,cursor-rules,developer-tools,gemini-cli,mcp,multi-agent,opencode,orchestration,prompt-engineering,workflows",2025-07-24T23:28:14Z,2026-06-01T23:04:23Z,2026-06-01T02:18:07Z,False
36,bytedance/UI-TARS-desktop,https://github.com/bytedance/UI-TARS-desktop,The Open-Source Multimodal AI Agent Stack: Connecting Cutting-Edge AI Models and Agent Infra,35868,22,3610,2,402,TypeScript,"agent,agent-tars,browser-use,computer-use,cowork,gui-agent,gui-operator,mcp,mcp-server,multimodal,tars,ui-tars,vision,vlm",2025-01-19T09:04:43Z,2026-06-01T22:58:32Z,2026-05-18T02:55:49Z,False
37,router-for-me/CLIProxyAPI,https://github.com/router-for-me/CLIProxyAPI,"Wrap Gemini CLI, Antigravity, ChatGPT Codex, Claude Code, Grok Build as an OpenAI/Gemini/Claude/Codex compatible API service, allowing you to enjoy the free Gemini 3.1 Pro, GPT 5.5, Grok 4.3, Claude model through API",35675,37,5930,11,392,Go,"antigravity,claude-code,cluade,codex,gemini,openai",2025-07-01T19:43:27Z,2026-06-01T22:55:23Z,2026-06-01T18:53:04Z,False
38,Yeachan-Heo/oh-my-claudecode,https://github.com/Yeachan-Heo/oh-my-claudecode,Teams-first Multi-agent orchestration for Claude Code,35503,20,3243,1,0,TypeScript,"agentic-coding,ai-agents,automation,claude,claude-code,multi-agent-systems,oh-my-opencode,opencode,parallel-execution,vibe-coding",2026-01-09T03:36:29Z,2026-06-01T23:01:03Z,2026-06-01T08:41:57Z,False
39,patchy631/ai-engineering-hub,https://github.com/patchy631/ai-engineering-hub,"In-depth tutorials on LLMs, RAGs and real-world AI agent applications.",35462,4,5883,2,114,Jupyter Notebook,"agents,ai,llms,machine-learning,mcp,rag",2024-10-21T10:43:24Z,2026-06-01T22:04:57Z,2026-05-21T10:45:44Z,False
40,luongnv89/claude-howto,https://github.com/luongnv89/claude-howto,"A visual, example-driven guide to Claude Code — from basic concepts to advanced agents, with copy-paste templates that bring immediate value.",34773,20,4235,2,31,Python,"claude-code,guide,tutorial",2025-11-07T22:59:34Z,2026-06-01T21:21:48Z,2026-05-31T21:39:03Z,False
41,musistudio/claude-code-router,https://github.com/musistudio/claude-code-router,"Use Claude Code as the foundation for coding infrastructure, allowing you to decide how to interact with the model while enjoying updates from Anthropic.",34620,5,2823,-1,943,TypeScript,,2025-02-25T02:17:18Z,2026-06-01T22:58:24Z,2026-03-04T05:48:17Z,False
42,microsoft/playwright-mcp,https://github.com/microsoft/playwright-mcp,Playwright MCP server,33314,15,2735,2,9,TypeScript,"mcp,playwright",2025-03-21T17:48:36Z,2026-06-01T22:26:23Z,2026-05-28T01:32:25Z,False
43,Alishahryar1/free-claude-code,https://github.com/Alishahryar1/free-claude-code,"Use claude-code for free in the terminal, VSCode extension or discord like OpenClaw (voice supported)",31588,128,4783,16,225,Python,,2026-01-28T19:02:30Z,2026-06-01T23:06:05Z,2026-06-01T00:18:04Z,False
44,coreyhaines31/marketingskills,https://github.com/coreyhaines31/marketingskills,"Marketing skills for Claude Code and AI agents. CRO, copywriting, SEO, analytics, and growth engineering.",31501,55,5204,6,18,JavaScript,"claude,codex,marketing",2026-01-15T19:45:23Z,2026-06-01T23:08:28Z,2026-05-29T22:10:37Z,False
45,Leonxlnx/taste-skill,https://github.com/Leonxlnx/taste-skill,"Taste-Skill - gives your AI good taste. stops the AI from generating boring, generic slop ",30927,413,2294,30,22,Shell,"agent,ai,claude,claude-code,codex,coding,design,frontend,lowcode,nocode,skill,skills,vibecoding",2026-02-19T21:44:05Z,2026-06-01T23:06:14Z,2026-05-26T19:31:39Z,False
46,github/github-mcp-server,https://github.com/github/github-mcp-server,GitHub's official MCP Server,30344,9,4305,5,266,Go,"github,mcp,mcp-server",2025-03-04T16:42:04Z,2026-06-01T22:50:46Z,2026-06-01T20:26:10Z,False
47,nanocoai/nanoclaw,https://github.com/nanocoai/nanoclaw,"A lightweight alternative to OpenClaw that runs in containers for security. Connects to WhatsApp, Telegram, Slack, Discord, Gmail and other messaging apps,, has memory, scheduled jobs, and runs directly on Anthropic's Agents SDK",29616,22,12901,1,716,TypeScript,"ai-agents,ai-assistant,claude-code,claude-skills,openclaw",2026-01-31T15:47:22Z,2026-06-01T21:49:46Z,2026-05-31T20:18:00Z,False
48,anthropics/claude-plugins-official,https://github.com/anthropics/claude-plugins-official,"Official, Anthropic-managed directory of high quality Claude Code Plugins.",29056,34,3100,7,720,Python,"claude-code,mcp,skills",2025-11-20T18:36:20Z,2026-06-01T23:08:30Z,2026-06-01T23:05:51Z,False
49,ComposioHQ/composio,https://github.com/ComposioHQ/composio,"Composio powers 1000+ toolkits, tool search, context management, authentication, and a sandboxed workbench to help you build AI agents that turn intent into action.",28572,10,4598,-1,121,TypeScript,"agentic-ai,agents,ai,ai-agents,aiagents,developer-tools,function-calling,gpt-4,javascript,js,llm,llmops,mcp,python,remote-mcp-server,sse,typescript",2024-02-23T13:58:27Z,2026-06-01T23:07:33Z,2026-06-01T21:22:46Z,False
50,davila7/claude-code-templates,https://github.com/davila7/claude-code-templates,CLI tool for configuring and monitoring Claude Code,27715,10,2861,3,162,Python,"anthropic,anthropic-claude,claude,claude-code",2025-07-04T01:26:26Z,2026-06-01T22:40:52Z,2026-06-01T04:36:03Z,False
